Feature,Importance
Delay_Days,392.73563875299476
Historical_Disruption_Count,368.865420520757
transit_time_days,74.82127564594973
Parameter_Change_Magnitude,36.01318693832507
Supplier_ID,24.08830077349798
Disruption_Type,6.800109866357721
Organization_ID,6.112927303232368
Energy_Consumption_Joules,5.974312562660194
Order_Value_USD,3.0421597528696243
total_lead_time,3.0135922836922715
Quantity_Ordered,1.7811271925908505
Federated_Round,1.561775365719016
Available_Historical_Records,0.20940416207696136
Buyer_ID,0.15091338163629028
Communication_Cost_MB,0.10955123014951423
Supplier_Reliability_Score,0.06961186550652174
Product_Category,0.04633766367873236
Order_ID,0.04577437737925201
gnn_emb_1,0.01585081255392507
gnn_emb_4,0.004399830013053009
